,,DESCENDENCIA EJEMPLAR,,,,,,,
,REGISTRO:,193844,,,,,,,
,NOMBRE:,ONIX (FC),,,,,,,
REGISTRO,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE,
REGISTRO0,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE0
635820,DUQUESA DEL TEMPLO,17/11/2012,CASTAÑO,HEMBRA,AVID*020*096*525,GD,P3,1830020
635990,LUNA DE VILLA TANIA,12/04/2019,ALAZAN,HEMBRA,978101082418928,GD,P3,1677830
636350,MAGNATE DE LAS DIOSAS T.E,14/06/2017,CASTAÑO,MACHO,978101082447231,GD,P3,2032280
636360,LUCERO DE LA CONQUISTA T.E,26/05/2018,CASTAÑO,HEMBRA,978101082447377,GA,P3,1924150
REGISTRO0,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE0
636470,REINA DEL FLOW,01/02/2017,CASTAÑO,HEMBRA,978101082447314,GN,P2,2900220
775640,SOÑADORA DE LAS MERCEDES,01/11/2012,CASTAÑO,HEMBRA,AVID*008*809*262,GD,P2,2382390
776320,AARON DE LAS FLORES,26/11/2010,CASTAÑO,MACHO,AVID*076*598*865,GD,P3,1663800
776500,SOBERBIO DE VILLA LUISA,17/11/2013,ZAINO,MACHO,AVID*010*054*026,GD,P3,766340
777170,ODISEA DE LA ESPERANZA,19/09/2012,CASTAÑO,HEMBRA,AVID*076*611*366,GD,P3,1425800
778500,ESMERALDA DE RANCHO CIMITARRA,15/08/2013,CASTAÑO,HEMBRA,AVID*025*362*296,GD,P3,1678950
778790,ZAFIRO DE VILLA HORIZONTE,16/08/2014,CASTAÑO,MACHO,AVID*040*098*819,GD,P1,4071550
779030,KOMANDER DE LA MARTINA,17/10/2013,CASTAÑO,MACHO,AVID*040*068*788,GD,P3,771810
779180,KAMILA DE RANCHO SAN MIGUEL,20/06/2015,CASTAÑO,HEMBRA,AVID*836*620*637,GD,P3,2162670
779320,DINASTIA DE VILLA NIÑA,24/07/2015,CASTAÑO,HEMBRA,AVID*836*586*606,GD,P1,2520180
779390,TRAGO DOBLE DE GRAN DINASTIA,05/04/2014,CASTAÑO,MACHO,AVID*025*110*269,GD,P3,2329300
779440,ADORACION DE LAS FLORES,10/10/2014,CASTAÑO,HEMBRA,AVID*839*028*587,GD,P3,773430
779910,POLA DE FINCA LA PRADERA,31/08/2015,CASTAÑO,HEMBRA,AVID*842*009*846,GD,P3,2337190
779940,GAIA DE LA NORMA,03/03/2015,CASTAÑO,HEMBRA,AVID*841*521*590,GD,P3,774900
779980,PARRANDERA DEL MANANTIAL,10/04/2016,CASTAÑO,HEMBRA,AVID*841*364*349,GD,P3,2237290
780030,AGUA BENDITA DE RANCHO TATIANA,27/06/2016,CASTAÑO,HEMBRA,AVID*842*014*893,GD,P3,768660
780100,ALTANERO DE LOS CAMBULOS,11/09/2013,CASTAÑO,MACHO,AVID*845*038*110,GD,P3,1395370
780540,CELESTE DE VILLA NIÑA,05/03/2018,CASTAÑO,HEMBRA,AVID*602*066*125,GD,P3,4066620
780680,DON JUAN DE LA MILAGROSA,05/10/2015,CASTAÑO,MACHO,AVID*845*029*039,GD,P3,775690
